task_losses,recourse_flow,dataset,model
5.462311791498653e8,0.5462301691498652,close,io
840.4141060185057,0.0,close,io
909.6383737978796,0.0,close,io
4.7239705065927666e8,0.47239604065927665,close,io
1870.3229474711768,0.0,close,io
1068.3876923101643,0.0,close,io
1082.3091850781511,0.0,close,io
5.428717276085217e9,5.4287162660852175,close,io
991.1831928956291,0.0,close,io
972.4491265416378,0.0,close,io
5.8774949608125925e9,5.8774939508125925,close,io
1009.9757127763,0.0,close,io
2.350911567651261e9,2.350910557651261,close,io
1950.617701349187,0.0,close,io
956.7933310881131,0.0,close,io
968.5528821719399,0.0,close,io
4.576521887523621e9,4.57652087752362,close,io
1003.8678925076102,0.0,close,io
1728.2677661827086,0.0,close,io
936.4621833104534,0.0,close,io
2.697039788599179e9,2.697038778599179,close,io
978.8974397357995,0.0,close,io
1102.7671424065434,0.0,close,io
1512.1901092272742,0.0,close,io
5.299205190740077e9,5.299204180740077,close,io
8.940386989397205e9,8.940385979397206,close,io
2.9149641998381186e9,2.9149631898381188,close,io
1.3543702848568504e9,1.3543692748568503,close,io
1.208487776453703e9,1.208486766453703,close,io
1.396135687614705e8,0.1396125587614705,close,io
1003.067789175164,0.0,close,io
981.9375435476177,0.0,close,io
1008.760000808316,0.0,close,io
8.19673800015776e9,8.19673699015776,close,io
1041.4098163396793,0.0,close,io
954.8373086860515,0.0,close,io
6.153107187424988e9,6.153106177424988,close,io
958.4426305343513,0.0,close,io
995.095118428042,0.0,close,io
947.5865587437409,0.0,close,io
1099.2665907857331,0.0,close,io
1641.5341235785895,0.0,close,io
1005.0700985852675,0.0,close,io
9.08071012777537e9,9.08070911777537,close,io
1005.1561932169293,0.0,close,io
9.830732808136079e8,0.9830722708136079,close,io
950.2761047994411,0.0,close,io
985.3993600726335,0.0,close,io
1009.1958076247782,0.0,close,io
3.216401994582151e9,3.216400984582151,close,io
1007.4377911163714,0.0,close,io
1569.3949903780185,0.0,close,io
1114.7870255528865,0.0,close,io
1097.863119256498,0.0,close,io
1102.5946718450518,0.0,close,io
1078.1884131756358,0.0,close,io
1351.3349112348058,0.0,close,io
1.61603943438862e9,1.6160384243886199,close,io
7.025041337123761e9,7.025040327123762,close,io
983.758895937036,0.0,close,io
1095.511556506888,0.0,close,io
5.851445965930972e9,5.8514449559309725,close,io
3.1929485443119693e9,3.192947534311969,close,io
1.610684126595009e10,16.10684025595009,close,io
4.560220325738359e8,0.4560210225738359,close,io
8.927861977682908e7,0.08927760977682908,close,io
1076.30835908151,0.0,close,io
1047.386486307334,0.0,close,io
1103.3345484605975,0.0,close,io
968.089013689796,0.0,close,io
1961.4047254637803,0.0,close,io
955.8328095474225,0.0,close,io
2.459599610749047e9,2.4595986007490467,close,io
987.2218612509868,0.0,close,io
1118.5161458239725,0.0,close,io
1012.8315841730938,0.0,close,io
1.5368871410635254e9,1.5368861310635253,close,io
1107.93829000307,0.0,close,io
1.2007950827123404e10,12.007949817123404,close,io
2.61611891033173e9,2.61611790033173,close,io
2199.491618403865,0.0,close,io
1065.6772242109832,0.0,close,io
1057.987676257547,0.0,close,io
1087.3916040407084,0.0,close,io
991.1752866105626,0.0,close,io
925.9682566358538,0.0,close,io
1109.6468795570993,0.0,close,io
980.4686293120949,0.0,close,io
1234.6113870272836,0.0,close,io
1.5717547938812633e9,1.5717537838812632,close,io
943.657306972238,0.0,close,io
1070.5571628240716,0.0,close,io
1279.6510288894003,0.0,close,io
946.6185290615958,0.0,close,io
934.9943585137189,0.0,close,io
1081.8905667380754,0.0,close,io
1617.5532620110096,0.0,close,io
979.0076566878377,0.0,close,io
1362.7509856894908,0.0,close,io
982.2799134887878,0.0,close,io
944.7497465882018,0.0,close,io
953.5010003752251,0.0,close,io
989.1170450432687,0.0,close,io
5.116074718978376e9,5.1160737089783765,close,io
7.006585900833082e9,7.006584890833082,close,io
1022.5318663981635,0.0,close,io
1855.1712298713517,0.0,close,io
5.625114139965499e9,5.625113129965499,close,io
902.5501917162593,0.0,close,io
1275.4325921102695,0.0,close,io
3.4758402964624453e9,3.4758392864624454,close,io
943.3342394842431,0.0,close,io
1076.2715152269434,0.0,close,io
972.6429261844194,0.0,close,io
1398.0557637379993,0.0,close,io
1636.9767636975898,0.0,close,io
1001.2518502013897,0.0,close,io
1668.227173721491,0.0,close,io
1093.091214133607,0.0,close,io
7.052527883455093e9,7.052526873455093,close,io
1055.7011700993821,0.0,close,io
1006.472438724724,0.0,close,io
1373.4255968481127,0.0,close,io
6.389111134312481e9,6.389110124312481,close,io
7.666495505550045e7,0.07666394505550045,close,io
919.369005500601,0.0,close,io
882.8963711455664,0.0,close,io
916.2569036281088,0.0,close,io
978.3391898665484,0.0,close,io
1009.0642607840971,0.0,close,io
2.762378923430953e9,2.762377913430953,close,io
984.7043192120573,0.0,close,io
1809.5049542178535,0.0,close,io
996.3263385109642,0.0,close,io
1.0374396010146408e10,10.374395000146407,close,io
976.2201221424716,0.0,close,io
1.5168258335167425e9,1.5168248235167425,close,io
1104.7128649351248,0.0,close,io
1064.5505267233248,0.0,close,io
3.7801995519335012e9,3.780198541933501,close,io
1000.9762083745193,0.0,close,io
991.7641143864677,0.0,close,io
1087.3475953587053,0.0,close,io
1089.1146770233909,0.0,close,io
6.34050429626472e9,6.34050328626472,close,io
969.3740912550516,0.0,close,io
2.893046731520096e9,2.893045721520096,close,io
925.3575739183526,0.0,close,io
1948.2270664345513,0.0,close,io
958.7134759848502,0.0,close,io
3.5463098985078945e9,3.5463088885078946,close,io
5.8221526425464556e7,0.05822051642546455,close,io
1.56503444757133e9,1.56503343757133,close,io
1099.2188351560583,0.0,close,io
5.656734993711178e9,5.656733983711177,close,io
2146.554225270397,0.0,close,io
1096.0843926289635,0.0,close,io
994.9699553366257,0.0,close,io
1282.5324779029222,0.0,close,io
4.8836927013352585e9,4.883691691335258,close,io
1.1817628807693071e9,1.1817618707693072,close,io
1197.7075078166185,0.0,close,io
1007.4054264195568,0.0,close,io
1038.6261290756734,0.0,close,io
1100.3164635058129,0.0,close,io
1072.339989206276,0.0,close,io
2.998791305598397e9,2.998790295598397,close,io
1097.0435678431925,0.0,close,io
945.6837788743115,0.0,close,io
7.964063170772082e8,0.7964053070772081,close,io
1094.359061797758,0.0,close,io
1865.4080426530063,0.0,close,io
1063.6510354659956,0.0,close,io
1626.882133357916,0.0,close,io
1003.74732853962,0.0,close,io
5.760560083535433e9,5.760559073535433,close,io
1462.802303220537,0.0,close,io
984.7456544673594,0.0,close,io
9.37462397297477e9,9.374622962974769,close,io
1450.2806308648237,0.0,close,io
1096.0796118242567,0.0,close,io
998.8448635618402,0.0,close,io
2153.568189378732,0.0,close,io
1012.7132465276077,0.0,close,io
974.9690717582073,0.0,close,io
995.015193597137,0.0,close,io
3.758964264860171e8,0.3758954164860171,close,io
2.573260608867935e9,2.573259598867935,close,io
1.5584989569833229e9,1.558497946983323,close,io
949.1065396333994,0.0,close,io
1001.5224267587438,0.0,close,io
983.6593329393332,0.0,close,io
1102.2244129715996,0.0,close,io
997.8486285464014,0.0,close,io
1082.108862315894,0.0,close,io
