task_losses,recourse_flow,dataset,model
1.4047981071296314e10,14.047980061296315,close,io
983.9107469251468,0.0,close,io
1001.177977241802,0.0,close,io
962.9570354851973,0.0,close,io
977.0277792025651,0.0,close,io
991.7321177328008,0.0,close,io
913.0542076701076,0.0,close,io
988.6895266486156,0.0,close,io
993.0267445128419,0.0,close,io
978.0525498801829,0.0,close,io
6.356828063282139e8,0.635681796328214,close,io
2.9994446682302994e8,0.2999434568230299,close,io
2.6756695081697416e9,2.675668498169742,close,io
4.907274386884717e9,4.907273376884717,close,io
1003.8986088210708,0.0,close,io
988.2180597993104,0.0,close,io
5.005623002772916e9,5.005621992772916,close,io
1006.9441136669166,0.0,close,io
1008.6173044882656,0.0,close,io
3.7530806576385574e9,3.7530796476385575,close,io
6.020962490877596e8,0.6020952390877596,close,io
6.36721995889827e9,6.36721894889827,close,io
951.9039394629914,0.0,close,io
5.195932244292388e9,5.195931234292388,close,io
862.1851943935122,0.0,close,io
1005.159989566451,0.0,close,io
985.3946141400719,0.0,close,io
8.126463311306717e9,8.126462301306717,close,io
4.773998502898801e9,4.7739974928988005,close,io
6.591137957504978e9,6.591136947504978,close,io
5.706836080488049e8,0.5706825980488048,close,io
1003.5694005533842,0.0,close,io
968.5997876431212,0.0,close,io
2.952521613089326e9,2.952520603089326,close,io
4.2532295108272195e9,4.25322850082722,close,io
4.94666246803032e9,4.94666145803032,close,io
965.5730798983791,0.0,close,io
947.3907883476039,0.0,close,io
1.8224284782140872e9,1.8224274682140873,close,io
960.8829739457133,0.0,close,io
1000.5130385344324,0.0,close,io
2.594169778005048e9,2.594168768005048,close,io
933.2323147346849,0.0,close,io
4.685242690654912e9,4.6852416806549115,close,io
962.4017409318117,0.0,close,io
990.0453560513786,0.0,close,io
998.2566246615222,0.0,close,io
990.0821862042139,0.0,close,io
5.447274722444812e9,5.447273712444812,close,io
956.3372415210403,0.0,close,io
947.5400937357549,0.0,close,io
954.2782577983043,0.0,close,io
938.9655096443204,0.0,close,io
1005.4944355069301,0.0,close,io
995.1899776096502,0.0,close,io
959.1148108608443,0.0,close,io
948.9849799436038,0.0,close,io
884.7572841901363,0.0,close,io
993.0775659989947,0.0,close,io
959.2286824208952,0.0,close,io
1.8316393893894115e8,0.18316292893894115,close,io
3.196831712132084e8,0.31968216121320836,close,io
2.7017073929957237e9,2.7017063829957237,close,io
7.717865694771115e9,7.717864684771115,close,io
1003.2780183121873,0.0,close,io
1005.8252385717527,0.0,close,io
3.8919424611440353e9,3.891941451144035,close,io
994.0297212116258,0.0,close,io
987.0619950513551,0.0,close,io
1005.1749913191545,0.0,close,io
998.1248581216821,0.0,close,io
996.3214808042624,0.0,close,io
929.8590067337161,0.0,close,io
952.4172129895578,0.0,close,io
1.5876780416097293e9,1.5876770316097293,close,io
9.774229178306459e8,0.9774219078306459,close,io
9.5546079026499e9,9.5546068926499,close,io
1.1072078020894852e9,1.1072067920894852,close,io
2.4762341582622104e9,2.47623314826221,close,io
5.94617398607563e9,5.94617297607563,close,io
3.116111989638037e9,3.1161109796380373,close,io
7.342298046154022e9,7.342297036154022,close,io
963.8558962570892,0.0,close,io
961.226295322163,0.0,close,io
993.4561059467802,0.0,close,io
973.384806897278,0.0,close,io
963.7929698117919,0.0,close,io
999.4075787133411,0.0,close,io
4.2057233629129715e9,4.2057223529129715,close,io
7.043971395476612e9,7.043970385476612,close,io
8.150926124874412e9,8.150925114874411,close,io
3.405666541362274e9,3.405665531362274,close,io
1007.7872033944938,0.0,close,io
1008.3171819886434,0.0,close,io
3.5158839467193503e9,3.5158829367193505,close,io
1.9466453211164863e9,1.9466443111164864,close,io
5.589568336708859e9,5.58956732670886,close,io
940.4946288463041,0.0,close,io
975.8514271483202,0.0,close,io
1.4311652703916254e9,1.4311642603916255,close,io
942.6938987261774,0.0,close,io
999.8809514508479,0.0,close,io
1004.3054663366296,0.0,close,io
2.2764674488558426e8,0.22764573488558426,close,io
5.758821232974557e8,0.5758811132974557,close,io
991.8944124509069,0.0,close,io
932.7749094534062,0.0,close,io
3.1562896424456086e9,3.1562886324456088,close,io
5.002501810073542e8,0.5002491710073542,close,io
5.105736550515383e9,5.105735540515383,close,io
5.085803518729898e9,5.085802508729898,close,io
986.4258036090968,0.0,close,io
3.7896842790927625e9,3.7896832690927624,close,io
2.747662014173304e8,0.27476519141733036,close,io
958.4700971878111,0.0,close,io
908.6976225565091,0.0,close,io
962.0010594918114,0.0,close,io
2.0923534667116942e9,2.0923524567116942,close,io
2.6724083217164125e9,2.6724073117164124,close,io
980.6608188743312,0.0,close,io
1.5051035103601382e9,1.5051025003601382,close,io
996.45317374495,0.0,close,io
991.531858359076,0.0,close,io
968.6272141890514,0.0,close,io
964.4790778191777,0.0,close,io
981.9008992396673,0.0,close,io
993.8730888194958,0.0,close,io
903.741869904293,0.0,close,io
6.517523943805708e9,6.517522933805708,close,io
3.7809595614036145e9,3.7809585514036144,close,io
939.6436507171671,0.0,close,io
4.451300240311989e9,4.451299230311989,close,io
7.765366415861567e8,0.7765356315861567,close,io
2.1021871636700187e9,2.1021861536700186,close,io
4.562663647623077e9,4.562662637623077,close,io
6.614770157289578e9,6.614769147289579,close,io
957.3233606758344,0.0,close,io
965.5835841781361,0.0,close,io
963.5012244819077,0.0,close,io
1083.6227329028097,0.0,close,io
2.851547647180405e9,2.8515466371804052,close,io
4.547626862523069e9,4.547625852523069,close,io
1.785431635712877e9,1.785430625712877,close,io
5.06277985028168e9,5.0627788402816805,close,io
5.804859523548149e8,0.5804849423548148,close,io
973.2258854579594,0.0,close,io
948.5408421237838,0.0,close,io
5.146376103959407e9,5.146375093959406,close,io
5.09337348570889e9,5.09337247570889,close,io
4.700581903197127e9,4.700580893197127,close,io
971.9191090971765,0.0,close,io
981.187438939006,0.0,close,io
949.0384236910337,0.0,close,io
958.0538399546532,0.0,close,io
1.6680816571999006e9,1.6680806471999006,close,io
974.3148409636453,0.0,close,io
969.0328399516283,0.0,close,io
998.9503851453053,0.0,close,io
8.012381443779696e9,8.012380433779697,close,io
976.8780856499006,0.0,close,io
996.147337026959,0.0,close,io
3.495990587360163e9,3.495989577360163,close,io
5.627597688425388e6,0.0056265876884253885,close,io
3.1398000784486246e9,3.1397990684486246,close,io
4.426805372870058e9,4.426804362870058,close,io
5.94924693629161e9,5.94924592629161,close,io
991.0581092527614,0.0,close,io
1004.2728649815512,0.0,close,io
1004.3807739344765,0.0,close,io
1340.996986205605,0.0,close,io
949.3928365868778,0.0,close,io
3.257288724999748e9,3.257287714999748,close,io
7.953879647946588e9,7.953878637946588,close,io
981.9734125372747,0.0,close,io
988.5372831704689,0.0,close,io
988.1711305436774,0.0,close,io
950.0340282053969,0.0,close,io
1002.1983808559448,0.0,close,io
1.2649840982080528e10,12.649839972080528,close,io
1008.6887365072366,0.0,close,io
985.5892403143091,0.0,close,io
929.3276314259004,0.0,close,io
1004.4410987238335,0.0,close,io
2.451591022755929e9,2.451590012755929,close,io
2.1505442114038916e9,2.1505432014038917,close,io
966.8607602566906,0.0,close,io
917.3253535088434,0.0,close,io
935.7237437486158,0.0,close,io
9.449964048456625e8,0.9449953948456624,close,io
9.243980379690563e9,9.243979369690564,close,io
997.2830952724821,0.0,close,io
974.0871962805096,0.0,close,io
4.239429055974066e9,4.239428045974066,close,io
965.8709386342879,0.0,close,io
987.224326914759,0.0,close,io
9.289564561419178e9,9.289563551419178,close,io
923.9989918171741,0.0,close,io
994.7938317841538,0.0,close,io
952.2983907333564,0.0,close,io
986.6098473787634,0.0,close,io
975.9351397943838,0.0,close,io
920.7892304918938,0.0,close,io
1002.6621728970072,0.0,close,io
4.999392364976523e9,4.999391354976524,close,io
969.4971931349663,0.0,close,io
1.9970795590575337e9,1.9970785490575338,close,io
4.254844743088933e9,4.254843733088933,close,io
5.269380038020069e9,5.269379028020069,close,io
1.5141626562623944e9,1.5141616462623944,close,io
993.476781259289,0.0,close,io
1009.2180575016392,0.0,close,io
1005.4584296928806,0.0,close,io
949.6571652912411,0.0,close,io
1.9661513957970014e8,0.19661412957970015,close,io
977.0686090888581,0.0,close,io
974.4716612195379,0.0,close,io
982.5968485180327,0.0,close,io
988.0822667550916,0.0,close,io
3.0882005374016986e9,3.0881995274016987,close,io
965.0220634266439,0.0,close,io
2.362361944106306e9,2.362360934106306,close,io
935.0328257657293,0.0,close,io
1.990138591206625e9,1.9901375812066249,close,io
946.4377299310007,0.0,close,io
952.9302451363517,0.0,close,io
8.3575622258772545e9,8.357561215877254,close,io
1.5345975113688385e9,1.5345965013688385,close,io
1.0741236171464577e8,0.10741135171464578,close,io
1.4947902657163164e10,14.947901647163164,close,io
4.1433208575745883e9,4.143319847574588,close,io
3.222403892753002e9,3.222402882753002,close,io
969.9665091501506,0.0,close,io
1.5812662198127985e9,1.5812652098127984,close,io
4.15180959576187e9,4.15180858576187,close,io
8.1629145547942505e9,8.16291354479425,close,io
8.61979394630185e9,8.619792936301849,close,io
6.942118514361605e9,6.942117504361605,close,io
1.964434489466635e9,1.964433479466635,close,io
986.6714774110708,0.0,close,io
1.515411838808612e9,1.515410828808612,close,io
994.0342598447045,0.0,close,io
953.7500726629395,0.0,close,io
8.958408088809614e9,8.958407078809614,close,io
972.5903194250109,0.0,close,io
9.697559354909745e8,0.9697549254909745,close,io
988.8427523332853,0.0,close,io
6.421566403401735e9,6.421565393401735,close,io
976.7307879075526,0.0,close,io
2.6402366701790586e9,2.6402356601790586,close,io
1006.756292330422,0.0,close,io
9.124387423945515e9,9.124386413945516,close,io
964.9713184850496,0.0,close,io
1099.374383801796,0.0,close,io
9.244299135844986e8,0.9244289035844986,close,io
4.2745958561563897e9,4.27459484615639,close,io
995.9227721478128,0.0,close,io
989.9864622130996,0.0,close,io
944.6122436498699,0.0,close,io
970.9487931845324,0.0,close,io
6.140867913740155e8,0.6140857813740155,close,io
980.9363598503602,0.0,close,io
1.4980002380523646e9,1.4979992280523646,close,io
1.628157083889329e9,1.628156073889329,close,io
989.8697399791997,0.0,close,io
982.4328086538612,0.0,close,io
4.3990473216917105e7,0.0439894632169171,close,io
898.9530408241773,0.0,close,io
8.362876365588452e8,0.8362866265588451,close,io
1.032595594346541e10,10.325954933465411,close,io
959.8545081644991,0.0,close,io
991.28810379048,0.0,close,io
945.6806929412746,0.0,close,io
957.3259241357971,0.0,close,io
982.2850900345817,0.0,close,io
1007.3767802683674,0.0,close,io
927.8763346108215,0.0,close,io
7.368455836963145e9,7.368454826963145,close,io
4.0949505589054046e9,4.094949548905404,close,io
1.535468889918727e9,1.535467879918727,close,io
1.0709731238360855e10,10.709730228360854,close,io
8.153535492712928e9,8.153534482712928,close,io
962.6302705457476,0.0,close,io
4.1221340058870854e9,4.122132995887085,close,io
941.1884841904817,0.0,close,io
892.9160746358821,0.0,close,io
3.447981924464225e9,3.4479809144642246,close,io
995.9057035710651,0.0,close,io
1.2119621835118952e9,1.2119611735118951,close,io
962.9754196561028,0.0,close,io
979.7732414388042,0.0,close,io
6.555896070992392e8,0.6555885970992392,close,io
1008.0831340581046,0.0,close,io
1795.8754402341788,0.0,close,io
7.283997876638546e9,7.283996866638546,close,io
7.344847834946587e9,7.344846824946586,close,io
1.2345152287274973e9,1.2345142187274973,close,io
1.14097677044189e9,1.14097576044189,close,io
947.7837043424482,0.0,close,io
3.636725621782256e9,3.636724611782256,close,io
973.0401497334949,0.0,close,io
972.1563439266422,0.0,close,io
4.688999649249376e9,4.688998639249377,close,io
972.5645478262423,0.0,close,io
2.350919777716138e9,2.350918767716138,close,io
4.686229941946203e9,4.686228931946204,close,io
981.8414495596401,0.0,close,io
965.3727419151174,0.0,close,io
946.9297120232784,0.0,close,io
2.1941622966201094e8,0.21941521966201094,close,io
4.406532497499606e9,4.406531487499606,close,io
1.7875069927861292e9,1.7875059827861293,close,io
990.0861107245355,0.0,close,io
1007.4953520177359,0.0,close,io
4.964202451987513e9,4.9642014419875125,close,io
2.6665577265378404e9,2.6665567165378405,close,io
1.3485668066425464e9,1.3485657966425464,close,io
893.1041483026019,0.0,close,io
944.3143480753259,0.0,close,io
981.3814399850868,0.0,close,io
908.3381871366194,0.0,close,io
977.9636971003508,0.0,close,io
937.3344490941079,0.0,close,io
969.0434193362682,0.0,close,io
8.247414586121531e9,8.24741357612153,close,io
965.7708379112876,0.0,close,io
946.8943754609729,0.0,close,io
3.4071605440466275e9,3.4071595340466274,close,io
982.9029390484015,0.0,close,io
1499.7749374271896,0.0,close,io
7.277169997125976e9,7.277168987125975,close,io
943.8426503818969,0.0,close,io
3.6952829119246874e9,3.6952819019246874,close,io
2.8935982154941173e9,2.8935972054941175,close,io
972.2551929792148,0.0,close,io
7.429763600446785e9,7.429762590446785,close,io
4.590625762948571e9,4.590624752948571,close,io
982.3886626380487,0.0,close,io
1.762272839794301e9,1.762271829794301,close,io
955.1002864269133,0.0,close,io
2.1918478405243125e9,2.1918468305243124,close,io
2.4701617427783675e9,2.4701607327783677,close,io
1.1204845660536188e10,11.204844650536188,close,io
951.4617277336691,0.0,close,io
4.629529889779835e8,0.46295197897798346,close,io
1007.7276844487182,0.0,close,io
988.2725022205456,0.0,close,io
1005.9105813402642,0.0,close,io
2.2826509782732334e9,2.2826499682732333,close,io
1008.557132515032,0.0,close,io
1007.0735612488637,0.0,close,io
965.5430023679933,0.0,close,io
942.0844930268199,0.0,close,io
2.1355597670796075e9,2.1355587570796075,close,io
992.4100315702121,0.0,close,io
957.1735024458408,0.0,close,io
987.3201456320883,0.0,close,io
1.953216733046057e9,1.953215723046057,close,io
945.3332228757467,0.0,close,io
4.2055402185037084e9,4.205539208503708,close,io
1006.665091797994,0.0,close,io
1.193060339375842e9,1.193059329375842,close,io
2.74841188536133e9,2.74841087536133,close,io
2.4340521149726105e9,2.4340511049726103,close,io
923.8593771394004,0.0,close,io
8.90342671468647e9,8.90342570468647,close,io
8.601084269446781e9,8.601083259446781,close,io
942.5457620322857,0.0,close,io
1.2950799320296173e9,1.2950789220296173,close,io
963.0732168159154,0.0,close,io
958.3291926618072,0.0,close,io
5.816332028016527e9,5.816331018016527,close,io
1004.0283495924455,0.0,close,io
1.692174652106937e9,1.6921736421069369,close,io
9.958802001610672e9,9.958800991610673,close,io
1007.2243979302824,0.0,close,io
5.330621991980943e9,5.3306209819809425,close,io
2.929965544520863e9,2.929964534520863,close,io
966.5597410526186,0.0,close,io
2.6060185106989822e9,2.6060175006989823,close,io
985.1782405224732,0.0,close,io
